Code
^N225
^NDX
^DJI
^AORD
^FTSE
^GDAXI
^SSEC
^HSI
^BSESN
^JKSE
^KLSE
^N225
^NZ50
^STI
^KS11
^TWII
^BVSP
^GSPTSE
^MXX
^GSPC
^MXX
^GSPC
^ATX
^BFX
^FCHI
^GDAXI
^OSEAX
^MIBTEL
^IXX
^OMXSPI
^SSMI
^FTSE
GD.AT
^CCSI
^TA100
